Modelo,Dataset,Instancias,K-folds_qtd,Fold,Dropout,Learning_rate,Epocas,Acuracia,F1_score
TFIDF+MLP,buscape,13620,10,1,0.15,0.0005,5,0.84,0.84
TFIDF+MLP,buscape,13620,10,2,0.15,0.0005,5,0.85,0.85
TFIDF+MLP,buscape,13620,10,3,0.15,0.0005,5,0.85,0.84
TFIDF+MLP,buscape,13620,10,4,0.15,0.0005,5,0.86,0.86
TFIDF+MLP,buscape,13620,10,5,0.15,0.0005,5,0.86,0.85
TFIDF+MLP,buscape,13620,10,6,0.15,0.0005,5,0.86,0.86
TFIDF+MLP,buscape,13620,10,7,0.15,0.0005,5,0.86,0.86
TFIDF+MLP,buscape,13620,10,8,0.15,0.0005,5,0.86,0.86
TFIDF+MLP,buscape,13620,10,9,0.15,0.0005,5,0.86,0.87
TFIDF+MLP,buscape,13620,10,10,0.15,0.0005,5,0.87,0.88
