Numero_Treinamento,Modelo,Dataset,Instancias,K-folds_qtd,Fold,Dropout,Learning_rate,Epocas,Acuracia,F1_score
01,TFIDF+MLP,b2w,10000,10,1,0.05,0.0005,5,0.94,0.95
01,TFIDF+MLP,b2w,10000,10,2,0.05,0.0005,5,0.94,0.96
01,TFIDF+MLP,b2w,10000,10,3,0.05,0.0005,5,0.95,0.96
01,TFIDF+MLP,b2w,10000,10,4,0.05,0.0005,5,0.94,0.96
01,TFIDF+MLP,b2w,10000,10,5,0.05,0.0005,5,0.93,0.95
01,TFIDF+MLP,b2w,10000,10,6,0.05,0.0005,5,0.93,0.95
01,TFIDF+MLP,b2w,10000,10,7,0.05,0.0005,5,0.93,0.95
01,TFIDF+MLP,b2w,10000,10,8,0.05,0.0005,5,0.94,0.96
01,TFIDF+MLP,b2w,10000,10,9,0.05,0.0005,5,0.94,0.96
01,TFIDF+MLP,b2w,10000,10,10,0.05,0.0005,5,0.94,0.96
