Numero_Treinamento,Modelo,Dataset,Instancias,K-folds_qtd,Fold,Dropout,Learning_rate,Epocas,Acuracia,F1_score
04,TFIDF+MLP,buscape,13620,10,1,0.01,0.005,5,0.83,0.83
04,TFIDF+MLP,buscape,13620,10,2,0.01,0.005,5,0.83,0.84
04,TFIDF+MLP,buscape,13620,10,3,0.01,0.005,5,0.82,0.81
04,TFIDF+MLP,buscape,13620,10,4,0.01,0.005,5,0.83,0.84
04,TFIDF+MLP,buscape,13620,10,5,0.01,0.005,5,0.83,0.83
04,TFIDF+MLP,buscape,13620,10,6,0.01,0.005,5,0.83,0.83
04,TFIDF+MLP,buscape,13620,10,7,0.01,0.005,5,0.82,0.81
04,TFIDF+MLP,buscape,13620,10,8,0.01,0.005,5,0.82,0.83
04,TFIDF+MLP,buscape,13620,10,9,0.01,0.005,5,0.83,0.84
04,TFIDF+MLP,buscape,13620,10,10,0.01,0.005,5,0.84,0.84
